X,Y,stnid,lat,long,maxtemp,mintemp,ppt,magnitude,timing,maxtempfreezedays,mintempfreezedays,prismppt,prismtemp,prismmintemp,prismmaxtemp,prismdewtemp,prismjjavpd,prismmaxvpd,elev,wizardppt,cesmppt,resep,resepx,resepxpptout,resepxprismjjavpdout,resepxmagnitudeout,resepxmintempfreezedaysout
839371.1181,1077187.133,"17,366",32.41,-87.0153,25.06296336,12.61084055,1306.879967,13.47826112,0.260560676,0.409836066,33.04918033,1319.7,18.1,11.85,24.34,12.1,25.36,17.41,36,1370.947474,1400.424008,0.057683287,0.05869,TRUE,FALSE,FALSE,FALSE
766746.5402,973436.4459,"18,178",31.5411,-87.8833,24.56080719,11.52775838,1445.205869,14.42659722,0.264952957,0.704918033,46.78688525,1471.62,18.41,11.7,25.12,12.69,24.16666667,17.88,98,1503.94289,1281.105802,-0.018477288,-0.017906667,FALSE,FALSE,FALSE,FALSE
962233.5251,1045324.208,"18,438",32.0142,-85.7464,24.25869926,10.91744231,1342.677311,15.06182041,0.231326805,0.803278689,51.44262295,1374.77,17.79,11.26,24.32,11.92,24.12,17.15,130,1373.25481,1406.541244,-0.05493391,-0.05415,FALSE,FALSE,FALSE,FALSE
-1413538.16,1474150.127,"23,160",35.2681,-111.7428,16.64451231,-3.499487437,514.5040656,7.016449786,0.204248878,11.18032787,241.442623,589.68,6.94,-2.09,15.98,-3.66,26.85666667,15.76,"2,265",542.360104,751.2714621,0.007710251,0.006957143,FALSE,FALSE,FALSE,FALSE
-1663412.274,1392829.804,"26,250",34.1547,-114.2897,31.22402826,14.54683516,106.426,6.185186092,0.049011137,0,9.016393443,112.85,23.35,15.53,31.17,3.65,65.8,40.45,164,116.9731214,291.1181302,0.056471591,0.05452,FALSE,TRUE,FALSE,FALSE
-1297788.034,1079259.515,"26,353",31.9356,-109.8378,25.9316577,7.559145295,266.1836721,5.893717971,0.084147931,0.06557377,67.39344262,352.83,16.52,7.79,25.25,0.95,41.04666667,27.66,"1,323",323.755512,552.5088534,0.017818223,0.017563846,FALSE,FALSE,FALSE,FALSE
-1488259.666,1407757.015,"26,796",34.5706,-112.4322,20.74260063,3.949392992,460.5103279,7.491968086,0.168370776,1.409836066,132.8688525,488.71,12.06,3.76,20.37,-1.66,33.41,21.17,"1,755",455.152506,751.2714621,-0.009899978,-0.00911,FALSE,FALSE,FALSE,FALSE
-1389156.335,1289419.698,"27,281",33.6731,-111.1508,27.38369174,12.96763888,383.0236721,7.961398364,0.132373631,0.016393443,11.01639344,437.73,20,12.5,27.49,2.89,56.02333333,32.57,695,355.063044,590.4026241,0.06723315,0.06714,FALSE,TRUE,FALSE,FALSE
-1453768.309,1232902.91,"27,370",33.08,-111.7417,30.67312523,11.83672149,168.7725902,7.057963106,0.074234905,0,31.70491803,209.98,21.84,13.29,30.39,3.74,60.92666667,37.76,392,222.4088008,337.0031216,-0.023609025,-0.023884485,FALSE,TRUE,FALSE,FALSE
-1269100.609,1174157.293,"27,390",32.815,-109.6808,26.70469154,8.306715391,230.4279672,4.395647676,0.13781082,0.032786885,77.06557377,248.81,18.15,9.16,27.15,1.65,49.53,31.46,922,236.166914,622.5191918,-0.022561641,-0.022995882,FALSE,TRUE,FALSE,FALSE
-1216756.957,1358739.967,"27,435",34.5172,-109.4028,21.31350245,2.789496922,262.1446557,5.110901686,0.135958539,3.68852459,145.1147541,263.57,11.95,3.08,20.83,-1.3,36.24333333,21.39,"1,750",279.047956,685.1572439,-0.000958659,-0.0012184,FALSE,FALSE,FALSE,FALSE
-1513313.26,1498726.228,"27,716",35.3322,-112.8797,22.12303895,2.65318956,297.9170164,6.47561001,0.111434687,1.229508197,147.0983607,338.33,12.44,3.09,21.78,-1.51,38.62,23.38,"1,623",361.637834,481.1151488,0.00109537,0.001545,FALSE,FALSE,FALSE,FALSE
-1321963.079,1056936.897,"28,619",31.7056,-110.0569,25.34520938,9.96834112,323.3961311,6.817086963,0.133064516,0.049180328,31.60655738,339.38,17.34,9.27,25.41,1.43,39.82333333,27.67,"1,389",337.647788,510.4198549,0.02643194,0.026818205,FALSE,FALSE,FALSE,FALSE
-1527464.007,1347533.908,"29,287",33.9792,-112.7403,29.03512758,9.093328241,284.6632131,8.092431166,0.088968156,0,55.39344262,310.97,19.85,11.18,28.53,2.02,56.73333333,34.71,650,279.271476,317.7138477,0.024975267,0.024433333,FALSE,TRUE,FALSE,FALSE
