stnid,site_key,layer_key,pedon_key,country_code,state_admindiv_code,county_code,lat,long,hzn_top,hzn_bot,hzn_desgn,hzn_master,txt,sand,silt,clay,oc,c_tot,db_13b,db_od,COLEws,tp,fc,wp,ep,whc,mag,timing,ppt,mintemp,maxtemp,maxtempfreezedays,mintempfreezedays,prismppt,prismtemp,prismmintemp,prismmaxtemp,prismdewtemp,prismjjavpd,prismmaxvpd,elev,cesmppt,koeppen,moistreg,tempreg,mid,resep,rresep,restp,rrestp,resfc,rresfc,reswp,rreswp,reswhc,rreswhc,stnlat,stnlong,X,Y,stnid,lat,long,Sand_clay,Clay_soc,Sand_soc,Sand_clay_soc,OBS,ep,PREDICTED,RESIDUAL,PRED ERROR,RESEPx
17366,8476,58514,8476,US,AL,AL131,31.89027778,-87.27638889,0,10,A,A,sl,58.70000076,29.89999962,11.39999962,2.25,NA,1.279999971,1.340000033,0.012,0.516981143,0.194559993,0.075040001,0.32242115,0.119519993,13.47826112,0.260560676,1306.879967,12.61084055,25.06296336,0.409836066,33.04918033,1409.87,18,11.48,24.52,12.28,23.98,17.24,94,1400.424008,Cfa,UDIC,THERMIC,5,0.057683287,21.78883143,0.003027025,0.588967913,-0.054656262,-21.93125881,-0.034410197,-31.43913624,-0.020246065,-14.48568099,32.41,-87.0153,820358.6531,-589549.5068,17366,31.89027778,-87.27638889,669.1799864,25.64999915,132.0750017,1505.654969,1,0.32242,0.26373,0.04084,0.05869,0.05869
18178,6957,50015,6957,US,AL,AL099,31.59888889,-87.32722222,14,28,A,A,scl,47.70000076,26.60000038,25.70000076,0.550000012,NA,1.5,1.590000033,0.018999999,0.433962264,0.245999994,0.157409997,0.18796227,0.088589997,14.42659722,0.264952957,1445.205869,11.52775838,24.56080719,0.704918033,46.78688525,1461.84,18.21,11.68,24.73,12.57,24.20666667,17.23,76,1400.424008,Cfa,UDIC,THERMIC,21,-0.008422145,-4.288601711,-0.036484356,-7.755259531,-0.028062211,-10.23935824,-0.008835448,-5.314700532,-0.019226763,-17.832815,31.5411,-87.8833,818549.0519,-622303.066,18178,31.59888889,-87.32722222,1225.890056,14.13500073,26.23500099,674.2395454,2,0.18796,0.19601,-0.00805,-0.00805,-0.00805
18178,7446,52816,7446,US,AL,AL099,31.30222222,-87.55666667,0,23,A,A,l,51.29999924,36.70000076,12,2.980000019,NA,1.350000024,1.409999967,0.015,0.490566029,0.328049996,0.105749998,0.162516033,0.222299998,14.42659722,0.264952957,1445.205869,11.52775838,24.56080719,0.704918033,46.78688525,1545.25,18.52,11.99,25.05,13.02,22.87,17.29,98,1281.105802,Cfa,UDIC,THERMIC,11.5,-0.103969981,-39.0151737,-0.05070163,-9.367201116,0.053268351,19.3857022,-0.014527778,-12.07852222,0.067796129,43.87989088,31.5411,-87.8833,799881.4502,-657143.7164,18178,31.30222222,-87.55666667,615.5999909,35.76000023,152.8739987,1834.487985,3,0.16252,0.26565,-0.10314,-0.10314,-0.10313
18178,8475,58507,8475,US,AL,AL131,31.91027778,-87.36666667,0,6,A,A,sl,72.19999695,20,7.800000191,1,0.839999974,1.389999986,1.419999957,0.007,0.475471703,0.147340004,0.042599999,0.3281317,0.104740005,14.42659722,0.264952957,1445.205869,11.52775838,24.56080719,0.704918033,46.78688525,1401.36,17.91,11.23,24.58,12.14,24.55333333,17.48,45,1400.424008,Cfa,UDIC,THERMIC,3,0.056960262,21.00525889,0.012616668,2.725835643,-0.044343595,-23.13374498,-0.032299874,-43.12407039,-0.012043721,-10.31284201,31.5411,-87.8833,811690.3994,-588106.013,18178,31.91027778,-87.36666667,563.15999,7.800000191,72.19999695,563.15999,4,0.32813,0.27067,0.03922,0.05746,0.05746
18438,8470,58466,8470,US,AL,AL087,32.47972222,-85.71194444,0,20,A,A,sl,65.5,26.70000076,7.800000191,1.480000019,NA,1.440000057,1.460000038,0.005,0.456603752,0.241919999,0.049640003,0.214683753,0.192279996,15.06182041,0.231326805,1342.677311,10.91744231,24.25869926,0.803278689,51.44262295,1330.65,17.68,11.21,24.15,11.63,25.43333333,17.3,101,1406.541244,Cfa,UDIC,THERMIC,10,-0.05493391,-20.37474442,-0.027080242,-5.59874669,0.027853668,13.01169977,-0.032962144,-39.90470611,0.060815812,46.26036552,32.0142,-85.7464,959847.8351,-509526.514,18438,32.47972222,-85.71194444,510.9000125,11.54400043,96.94000124,756.1320282,5,0.21468,0.26883,-0.05414,-0.05414,-0.05415
23160,6373,46600,6373,US,AZ,AZ005,35.59916667,-111.6008333,0,5,A1,A,l,48.40000153,41.70000076,9.899999619,1.289999962,NA,1.200000048,1.25999999,0.013,0.547169793,0.408000016,0.123480001,0.139169777,0.284520015,7.016449786,0.204248878,514.5040656,-3.499487437,16.64451231,11.18032787,241.442623,319.99,10.52,2.07,18.98,-2.89,35.96666667,19.87,1798,621.206111,Csb,USTIC ARIDIC,MESIC,2.5,-0.103976646,-42.7629758,0.058257164,11.91565949,0.16223381,66.01143928,0.030672281,33.04927801,0.131561529,86.01126478,35.2681,-111.7428,-1394850.267,-98179.79219,23160,35.59916667,-111.6008333,479.1599967,12.77099913,62.43600013,618.1163775,6,0.13917,0.24301,-0.10557,-0.10384,-0.10384
23160,3384,25969,3384,US,AZ,AZ017,35.11194444,-110.7286111,0,13,A,A,sic,2.799999952,43.70000076,53.5,0.50999999,NA,1.419999957,1.679999948,0.057,0.46415096,0.335119995,0.295679997,0.129030964,0.039439998,7.016449786,0.204248878,514.5040656,-3.499487437,16.64451231,11.18032787,241.442623,178.49,13.21,4.36,22.06,-1.41,41.48,24.36,1480,749.0808746,BSk,TYPIC ARIDIC,MESIC,6.5,0.016775853,14.94439991,-0.044728965,-8.789689379,-0.061504817,-15.50705238,-0.025142857,-7.836990506,-0.036361961,-47.96968495,35.2681,-111.7428,-1325927.859,-164504.9367,23160,35.11194444,-110.7286111,149.7999974,27.28499947,1.427999948,76.39799719,7,0.12903,0.11819,0.01777,0.01084,0.01084
23160,7794,54703,7794,US,AZ,AZ025,34.89666667,-111.8625,0,8,A,A,ls,77.30000305,16.60000038,6.099999905,0.720000029,NA,1.429999948,1.429999948,0,0.460377378,0.142999995,0.038609999,0.317377383,0.104389996,7.016449786,0.204248878,514.5040656,-3.499487437,16.64451231,11.18032787,241.442623,402.12,15.17,6.94,23.4,0.07,44.73333333,26.91,1370,751.2714621,Csa,ARIDIC USTIC,THERMIC,4,0.039172942,14.08063146,0.011350819,2.527872436,-0.027822123,-16.28719029,-0.022574576,-36.89586102,-0.005247548,-4.786268934,35.2681,-111.7428,-1431091.407,-171832.7291,23160,34.89666667,-111.8625,471.5300113,4.392000109,55.65600444,339.5016218,8,0.31738,0.27814,0.03924,0.03924,0.03924
23160,9833,66207,9833,US,AZ,AZ017,35.81833333,-110.1977778,0,3,A,A,ls,79.30000305,12.10000038,8.600000381,0.689999998,NA,1.340000033,1.419999957,0.02,0.49433961,0.135340008,0.066739995,0.358999602,0.068600013,7.016449786,0.204248878,514.5040656,-3.499487437,16.64451231,11.18032787,241.442623,233.47,10.29,2,18.58,-2.16,33.37333333,19.05,1982,503.3317908,BSk,USTIC ARIDIC,MESIC,1.5,0.085450678,31.23780459,0.047049747,10.51884936,-0.038400931,-22.10240795,-0.006137543,-8.421720484,-0.032263389,-31.98721056,35.2681,-111.7428,-1266734.085,-93590.66426,23160,35.81833333,-110.1977778,681.9800564,5.934000246,54.71700195,470.5662376,9,0.359,0.27321,0.07733,0.08579,0.08579
23160,9834,66218,9834,US,AZ,AZ017,35.81888889,-110.1483333,0,5,A,A,sl,57,30.60000038,12.39999962,0.949999988,NA,1.519999981,1.620000005,0.021,0.426415102,0.214320003,0.116639997,0.212095098,0.097680006,7.016449786,0.204248878,514.5040656,-3.499487437,16.64451231,11.18032787,241.442623,236.02,10.16,1.83,18.49,-2.15,33.38666667,18.86,1977,503.3317908,BSk,USTIC ARIDIC,MESIC,2.5,-0.030123229,-12.43639534,-0.046408078,-9.815102042,-0.016284849,-7.06179797,0.016633154,16.63201593,-0.032918003,-25.20559323,35.2681,-111.7428,-1262346.095,-94187.07311,23160,35.81888889,-110.1483333,706.7999783,11.77999949,54.14999932,671.4599709,10,0.2121,0.24188,-0.04722,-0.02978,-0.02978
23160,6508,47461,6508,US,AZ,AZ005,35.5675,-111.49,5,15,A2,A,l,46.79999924,37.90000153,15.30000019,0.939999998,NA,1.360000014,1.389999986,0.007,0.486792448,0.194480005,0.10286,0.292312443,0.091620004,7.016449786,0.204248878,514.5040656,-3.499487437,16.64451231,11.18032787,241.442623,247.66,12.21,4.03,20.39,-1.83,38.73666667,21.64,1657,621.206111,BSk,USTIC ARIDIC,MESIC,10,0.067743499,30.1660137,0.006597542,1.373929965,-0.061145957,-23.92008875,-0.013748071,-11.78998259,-0.047397886,-34.09481008,35.2681,-111.7428,-1385604.291,-103298.7939,23160,35.5675,-111.49,716.0399973,14.38200015,43.99199919,673.077596,11,0.29231,0.22449,0.07498,0.06782,0.06782
23160,3404,26083,3404,US,AZ,AZ005,34.67277778,-111.3847222,0,5,A1,A,sil,3.799999952,74.69999695,21.5,3.799999952,NA,1.169999957,1.289999962,0.033,0.558490582,0.362699987,0.18189,0.195790596,0.180809987,7.016449786,0.204248878,514.5040656,-3.499487437,16.64451231,11.18032787,241.442623,639.77,8.68,0.37,16.99,-2.13,27.90333333,16.91,2108,751.2714621,Csa,TYPIC USTIC,MESIC,2.5,-0.022022378,-10.11068223,-0.022662302,-3.899542229,-0.000639925,-0.17612284,0.005482514,3.107869455,-0.006122439,-3.275215032,35.2681,-111.7428,-1392406.833,-203637.0156,23160,34.67277778,-111.3847222,81.69999897,81.69999897,14.43999964,310.4599922,12,0.19579,0.21973,-0.02171,-0.02394,-0.02394
23160,6381,46652,6381,US,AZ,AZ005,35.60638889,-111.5788889,0,7,A1,A,sl,62.09999847,29.39999962,8.5,0.870000005,NA,1.169999957,1.220000029,0.012,0.558490582,0.335789997,0.095160005,0.222700586,0.240629992,7.016449786,0.204248878,514.5040656,-3.499487437,16.64451231,11.18032787,241.442623,275.42,11.33,3.03,19.63,-2.39,37.48,20.7,1716,621.206111,Csb,USTIC ARIDIC,MESIC,3.5,-0.033343339,-13.02250755,0.092854017,19.94130691,0.126197356,60.21077643,0.016636668,21.18690926,0.109560688,83.58989086,35.2681,-111.7428,-1392773.915,-97703.98432,23160,35.60638889,-111.5788889,527.849987,7.395000043,54.02699898,459.2294913,13,0.2227,0.25582,-0.03119,-0.03312,-0.03312
