X,Y,stnid,lat,long,maxtemp,mintemp,ppt,magnitude,timing,maxtempfreezedays,mintempfreezedays,prismppt,prismtemp,prismmintemp,prismmaxtemp,prismdewtemp,prismjjavpd,prismmaxvpd,elev,wizardppt,cesmppt,resep,resepx,resepxpptout,resepxprismjjavpdout,resepxmagnitudeout,resepxmintempfreezedaysout
783805.5057,1104753.033,"13,511",32.7017,-87.5808,25.20280778,11.76093053,1311.160492,13.8325382,0.257272465,0.573770492,41.73770492,1365.38,17.7,11.28,24.11,11.95,24.92333333,16.96,81,1352.310986,1311.281231,0.023505419,0.0219295,FALSE,FALSE,FALSE,FALSE
839179.8389,1274972.483,"17,157",34.1736,-86.8133,22.5313553,8.269052606,1419.593508,12.82019314,0.295673323,3.262295082,80.29508197,1498.74,15.57,9.36,21.77,10.02,21.49333333,14,230,1467.97141,1399.257703,-0.067640202,-0.0686,FALSE,FALSE,FALSE,FALSE
839371.1181,1077187.133,"17,366",32.41,-87.0153,25.06296336,12.61084055,1306.879967,13.47826112,0.260560676,0.409836066,33.04918033,1319.7,18.1,11.85,24.34,12.1,25.36,17.41,36,1370.947474,1400.424008,0.031908829,0.0309925,FALSE,FALSE,FALSE,FALSE
766746.5402,973436.4459,"18,178",31.5411,-87.8833,24.56080719,11.52775838,1445.205869,14.42659722,0.264952957,0.704918033,46.78688525,1471.62,18.41,11.7,25.12,12.69,24.16666667,17.88,98,1503.94289,1281.105802,0.00828118,0.005825,FALSE,FALSE,FALSE,FALSE
943548.4831,1020164.602,"18,323",31.8075,-85.9722,24.71577416,12.34749028,1248.838885,13.64545306,0.256668734,0.360655738,32.75409836,1355.08,18.25,11.91,24.58,12.42,23.49,17.06,150,1392.000772,1406.541244,0.01880468,0.020656667,FALSE,FALSE,FALSE,FALSE
962233.5251,1045324.208,"18,438",32.0142,-85.7464,24.25869926,10.91744231,1342.677311,15.06182041,0.231326805,0.803278689,51.44262295,1374.77,17.79,11.26,24.32,11.92,24.12,17.15,130,1373.25481,1406.541244,0.023431458,0.02203,FALSE,FALSE,FALSE,FALSE
943636.1319,1329953.233,"18,469",34.5667,-85.6128,21.22523528,7.293093666,1415.500361,13.23076439,0.276641705,4.918032787,97.36065574,1429.56,14.3,8.05,20.55,9.73,16.30666667,12.7,513,1558.379916,1479.750295,-0.04361709,-0.046539167,FALSE,FALSE,FALSE,FALSE
-1297788.034,1079259.515,"26,353",31.9356,-109.8378,25.9316577,7.559145295,266.1836721,5.893717971,0.084147931,0.06557377,67.39344262,352.83,16.52,7.79,25.25,0.95,41.04666667,27.66,"1,323",323.755512,552.5088534,0.020122761,0.018976667,FALSE,TRUE,FALSE,FALSE
-1488259.666,1407757.015,"26,796",34.5706,-112.4322,20.74260063,3.949392992,460.5103279,7.491968086,0.168370776,1.409836066,132.8688525,488.71,12.06,3.76,20.37,-1.66,33.41,21.17,"1,755",455.152506,751.2714621,0.110313464,0.1101,TRUE,TRUE,FALSE,TRUE
-1453768.309,1232902.91,"27,370",33.08,-111.7417,30.67312523,11.83672149,168.7725902,7.057963106,0.074234905,0,31.70491803,209.98,21.84,13.29,30.39,3.74,60.92666667,37.76,392,222.4088008,337.0031216,0.012900185,0.013642444,FALSE,TRUE,FALSE,FALSE
-1321963.079,1056936.897,"28,619",31.7056,-110.0569,25.34520938,9.96834112,323.3961311,6.817086963,0.133064516,0.049180328,31.60655738,339.38,17.34,9.27,25.41,1.43,39.82333333,27.67,"1,389",337.647788,510.4198549,-0.009255195,-0.012285,FALSE,TRUE,FALSE,FALSE
-1527464.007,1347533.908,"29,287",33.9792,-112.7403,29.03512758,9.093328241,284.6632131,8.092431166,0.088968156,0,55.39344262,310.97,19.85,11.18,28.53,2.02,56.73333333,34.71,650,279.271476,317.7138477,-0.021722163,-0.020616125,FALSE,TRUE,FALSE,FALSE
-1980426.657,2311973.73,"41,614",41.5336,-120.1736,16.73893427,2.127850201,318.2370164,4.321772899,0.195516513,13.26229508,151.2459016,325.87,8.97,1.6,16.33,-1.08,32.54666667,16.3,"1,365",353.777804,1156.672676,0.050373894,0.047325,FALSE,FALSE,FALSE,FALSE
-2167552.993,2148657.72,"41,715",39.6911,-121.8211,24.09193638,8.481508198,559.5495082,10.00457679,0.160225198,0.049180328,32.86885246,651.51,16.57,9.29,23.84,7.37,39.65666667,22.81,55,626.14683,1082.717514,-0.003194023,-0.005845385,FALSE,TRUE,FALSE,FALSE
-2113441.472,2064135.125,"41,912",39.0911,-120.9481,21.53763937,8.000343781,1126.777311,17.10954905,0.173073058,0.032786885,40.32786885,1189.3,14.72,7.86,21.58,4.95,37.24,20.39,632,1203.549536,1048.915663,-0.043533277,-0.046102583,FALSE,TRUE,FALSE,FALSE
-2019019.27,1533062.735,"42,941",34.7042,-118.4275,21.79628243,9.901231128,393.9165246,11.16045197,0.092520096,0.327868852,26.8852459,522.55,15.68,9.63,21.74,1.38,37.21333333,21.37,"1,029",242.725956,500.1821541,-0.048442686,-0.047225,FALSE,TRUE,FALSE,FALSE
-2075560.712,1786480.026,"43,257",36.78,-119.7194,24.71344888,10.29726438,279.0752131,6.040258699,0.123067876,0.032786885,19.96721311,296.51,17.56,10.28,24.84,7.7,44.72333333,24.43,104,289.693604,701.5418982,-0.00609529,-0.004825923,FALSE,TRUE,FALSE,FALSE
-2081011.912,1734914.23,"43,747",36.3219,-119.6356,24.60334352,9.01859528,206.1022623,5.342782422,0.09718222,0,33.6557377,221.85,17.13,9.72,24.53,7.97,42.06666667,23.45,74,184.9235316,701.5418982,-0.004906556,-0.002642286,FALSE,TRUE,FALSE,FALSE
-2223311.876,1931623.965,"44,997",37.6922,-121.7692,23.02078054,7.693021681,360.3094098,6.199563797,0.155026142,0.016393443,28.72131148,396.68,15.64,8.96,22.31,7.14,27.80333333,17.9,174,342.892888,697.1863236,-0.038671369,-0.03864,FALSE,FALSE,FALSE,FALSE
-2170573.358,1965221.652,"45,032",38.1061,-121.2878,23.33824407,8.03775713,432.1914098,7.281494139,0.139016897,0.016393443,26.78688525,450.4,16.32,8.95,23.69,7.66,35.61666667,21.06,14,326.98436,697.1863236,0.00378352,0.00257375,FALSE,FALSE,FALSE,FALSE
-2128915.637,1858867.202,"45,532",37.2858,-120.5117,24.83528393,8.592280115,310.5503934,6.470734131,0.125024002,0,28.55737705,322.4,16.77,9.5,24.04,7.8,40.24,22.34,51,275.54428,829.9166417,-0.02676126,-0.0261176,FALSE,TRUE,FALSE,FALSE
-2247069.397,2006469.27,"46,074",38.2778,-122.2647,22.09213462,8.041576629,656.206918,9.822931927,0.166522657,0,17.95081967,684.83,15.37,9.03,21.72,7.98,30.21,16.4,340,550.920158,812.4703397,-0.028287318,-0.030650778,FALSE,FALSE,FALSE,FALSE
-1679632.386,1465855.597,"46,118",34.7675,-114.6189,30.18987718,16.14532024,111.4019016,4.86344646,0.060399866,0,4.131147541,121.14,23.16,16.07,30.24,2.2,69.16333333,39.34,229,143.5157912,383.5425342,0.008257253,0.00419,FALSE,TRUE,FALSE,FALSE
-1998745.842,1401680.062,"46,175",33.6025,-117.8803,19.7032746,12.94787087,267.1205574,7.536237319,0.096833274,0,0.131147541,271.05,16.89,13.18,20.6,10.6,17.45666667,11.65,119,324.014592,379.352725,0.002250002,-0.00085975,FALSE,FALSE,FALSE,FALSE
-2196862.767,2163252.916,"46,506",39.7458,-122.1997,23.86417933,9.270553543,538.6507213,8.215675683,0.161684917,0.049180328,25.08196721,569.07,16.86,9.69,24.03,7.19,41.34,23.7,67,506.8189,1082.717514,-0.040671727,-0.041708588,FALSE,TRUE,FALSE,FALSE
-2191380.424,1683288.586,"46,730",35.6278,-120.6856,24.79770359,5.436992071,372.7803934,8.187330309,0.121351767,0,62.81967213,417.96,15,5.6,24.4,6.03,38.05,22.55,251,506.475238,529.4843427,-0.007532558,-0.0086044,FALSE,TRUE,FALSE,FALSE
-1925574.058,1436442.391,"47,306",34.0528,-117.1894,26.20026612,10.03886741,319.6027869,7.986571188,0.115135369,0,7.524590164,289.56,18.37,10.76,25.99,6.48,38.31,25.75,486,426.186854,346.2024049,0.041091868,0.03259,FALSE,FALSE,FALSE,FALSE
-2198752.837,1647930.873,"47,851",35.3056,-120.6639,21.71966701,8.542553708,554.8400984,11.84196159,0.112345303,0,3.62295082,531.59,15.01,8.05,21.97,7.58,25.24666667,16.49,234,608.171504,441.4517345,0.043029629,0.043385,FALSE,FALSE,FALSE,FALSE
-2137812.784,1529340.962,"47,902",34.4167,-119.6844,21.58471744,10.84309285,420.9571148,12.62729848,0.09375,0,0.803278689,506.68,15.67,11.07,20.27,9.01,9.713333333,13.07,19,NA,473.224924,0.03489533,0.03184,FALSE,FALSE,FALSE,FALSE
-2263215.449,1861135.578,"47,916",36.9906,-121.9911,20.21670862,7.701660753,763.8571148,12.36984511,0.16234639,0,11.45901639,749.54,12.45,9.19,15.72,8.74,4.816666667,6.1,4,551.427142,591.5976187,-0.028165373,-0.0289605,FALSE,TRUE,FALSE,FALSE
