stnid,site_key,layer_key,pedon_key,country_code,state_admindiv_code,county_code,lat,long,hzn_top,hzn_bot,hzn_desgn,hzn_master,txt,sand,silt,clay,oc,c_tot,db_13b,db_od,COLEws,tp,fc,wp,ep,whc,mag,timing,ppt,mintemp,maxtemp,maxtempfreezedays,mintempfreezedays,prismppt,prismtemp,prismmintemp,prismmaxtemp,prismdewtemp,prismjjavpd,prismmaxvpd,elev,cesmppt,koeppen,moistreg,tempreg,mid,resep,rresep,restp,rrestp,resfc,rresfc,reswp,rreswp,reswhc,rreswhc,stnlat,stnlong,X,Y,stnid,lat,long,Sand_clay,Clay_soc,Sand_soc,Sand_clay_soc,OBS,ep,PREDICTED,RESIDUAL,PRED ERROR,RESEPx
13511,15426,97227,15426,US,AL,AL119,32.365,-88.11111111,0,13,Ap,A,sicl,16.79999924,44.29999924,38.90000153,1.909999967,NA,1.220000029,1.409999967,0.048,0.539622631,0.339159999,0.231239989,0.200462632,0.10792001,13.8325382,0.257272465,1311.160492,11.76093053,25.20280778,0.573770492,41.73770492,1363.36,17.78,11.18,24.39,12.1,24.9,17.19,59,1328.342475,Cfa,UDIC,THERMIC,6.5,0.072511407,56.67113157,0.047344118,9.617344076,-0.025167289,-6.907879124,-0.02879147,-11.07230261,0.003624181,3.474905453,32.7017,-87.5808,737665.6155,-543688.9899,13511,32.365,-88.11111111,653.5199961,74.29900164,32.08799799,1248.223171,1,0.20046,0.13066,0.08547,0.0698,0.0698
13511,18476,116102,18476,US,AL,AL091,32.35916667,-87.62,9,19,Ap2,A,cl,27.10000038,33.90000153,39,1.350000024,1.389999986,1.480000019,1.720000029,0.050999999,0.441509427,0.346319999,0.261440001,0.095189428,0.084879998,13.8325382,0.257272465,1311.160492,11.76093053,25.20280778,0.573770492,41.73770492,1342.12,17.89,11.46,24.32,12.15,25.05333333,17.17,54,1328.342475,Cfa,UDIC,THERMIC,14,-0.025500568,-21.12898252,-0.029880974,-6.338901705,-0.004380406,-1.249045029,0.003249968,1.258750546,-0.007630374,-8.248128556,32.7017,-87.5808,783529.5849,-540406.344,13511,32.35916667,-87.62,1056.900015,52.65000094,36.58500116,1426.815045,2,0.095189,0.12113,-0.01068,-0.02594,-0.025941
17157,8443,58292,8443,US,AL,AL127,33.97722222,-87.58083333,0,13,Ap,A,sl,52.59999847,35.90000153,11.5,1.080000043,NA,1.570000052,1.590000033,0.004,0.40754715,0.29045001,0.077910003,0.117097141,0.212540006,12.82019314,0.295673323,1419.593508,8.269052606,22.5313553,3.262295082,80.29508197,1490.84,15.84,9.41,22.26,10.17,23.24333333,15.28,193,1303.630973,Cfa,UDIC,THERMIC,6.5,-0.067640202,-36.61425533,-0.028463337,-6.528131269,0.039176866,15.59134609,-0.016429089,-17.41493228,0.055605955,35.43268899,34.1736,-86.8133,771201.6464,-360171.9019,17157,33.97722222,-87.58083333,604.8999824,12.42000049,56.80800061,653.292007,3,0.1171,0.1857,-0.05655,-0.06861,-0.0686
17366,14857,94036,14857,US,AL,AL091,32.18055556,-87.55694444,0,15,Ap,A,c,8.600000381,30,61.40000153,1.610000014,NA,1.129999995,1.529999971,0.104999997,0.573584908,0.446349998,0.358019987,0.12723491,0.088330011,13.47826112,0.260560676,1306.879967,12.61084055,25.06296336,0.409836066,33.04918033,1362.84,17.94,11.47,24.41,12.24,24.62333333,17.19,55,1328.342475,Cfa,UDIC,THERMIC,7.5,0.018442698,16.95222289,0.070158569,13.93621352,0.051715871,13.10476407,-0.034717141,-8.839790925,0.086433012,4556.304083,32.41,-87.0153,791176.3449,-559715.8531,17366,32.18055556,-87.55694444,528.0400366,98.85400332,13.84600073,850.1444662,4,0.12723,0.1098,0.03111,0.01744,0.01743
17366,9354,63732,9354,US,AL,AL085,32.22194444,-86.85944444,0,18,Ap,A,sl,70.90000153,18.89999962,10.19999981,0.779999971,NA,1.679999948,1.730000019,0.009,0.366037755,0.159599995,0.074390004,0.20643776,0.085209991,13.47826112,0.260560676,1306.879967,12.61084055,25.06296336,0.409836066,33.04918033,1340.97,17.93,11.8,24.07,12.19,23.58666667,16.7,105,1400.424008,Cfa,UDIC,THERMIC,9,0.001346994,0.656779653,-0.046010622,-11.16631559,-0.047357617,-22.88276148,-0.009398196,-11.21661057,-0.037959421,-30.81886978,32.41,-87.0153,855900.2508,-549078.0318,17366,32.22194444,-86.85944444,723.1800021,7.955999556,55.30199914,564.0803807,5,0.20644,0.20491,0.00378,0.00153,0.00153
17366,9352,63703,9352,US,AL,AL001,32.48861111,-86.46944444,0,12,Ap,A,sl,72.30000305,15.39999962,12.30000019,1.25,NA,1.460000038,1.5,0.009,0.449056589,0.140160009,0.066000001,0.30889658,0.074160008,13.47826112,0.260560676,1306.879967,12.61084055,25.06296336,0.409836066,33.04918033,1389.58,18.22,12.11,24.33,12.18,25.1,17.28,85,1400.424008,Cfa,UDIC,THERMIC,6,0.101730853,49.1060245,0.014787761,3.405208923,-0.086943092,-38.28353356,-0.037958333,-36.51302519,-0.048984759,-39.77818985,32.41,-87.0153,889322.4468,-515910.4977,17366,32.48861111,-86.46944444,889.2900513,15.37500024,90.37500381,1111.612564,6,0.3089,0.20691,0.10855,0.10198,0.10199
17366,8474,58498,8474,US,AL,AL131,32.07055556,-87.3875,0,16,Ap,A,l,50.90000153,38.40000153,10.69999981,1.49000001,1.299999952,1.659999967,1.669999957,0.002,0.373584918,0.20583999,0.080160001,0.167744929,0.125679988,13.47826112,0.260560676,1306.879967,12.61084055,25.06296336,0.409836066,33.04918033,1376.85,17.88,11.25,24.52,12.12,24.49333333,17.41,44,1400.424008,Cfa,UDIC,THERMIC,8,-0.023291732,-12.19228408,-0.08087337,-17.79555401,-0.057581638,-21.85911549,-0.015726328,-16.40101148,-0.04185531,-24.9829799,32.41,-87.0153,808120.9103,-570499.4649,17366,32.07055556,-87.3875,544.6300067,15.94299982,75.84100279,811.4987154,7,0.16774,0.19313,-0.02131,-0.02539,-0.02539
17366,9353,63711,9353,US,AL,AL085,32.1775,-86.82916667,0,12,Ap,A,ls,78.30000305,16.79999924,4.900000095,0.769999981,NA,1.480000019,1.480000019,0,0.441509427,0.088800001,0.04884,0.352709426,0.039960001,13.47826112,0.260560676,1306.879967,12.61084055,25.06296336,0.409836066,33.04918033,1346.72,17.86,11.71,24.01,12.18,23.46666667,16.57,114,1400.424008,Cfa,UDIC,THERMIC,6,0.121274375,52.40104081,0.037172928,9.193562271,-0.084101447,-48.64126247,-0.004504968,-8.444971939,-0.07959648,-66.5764659,32.41,-87.0153,859203.8917,-553735.4912,17366,32.1775,-86.82916667,383.6700224,3.77299998,60.29100086,295.4259099,8,0.35271,0.2344,0.13352,0.11831,0.11831
17366,9351,63692,9351,US,AL,AL001,32.41472222,-86.48972222,0,10,Ap,A,sl,66.90000153,22.5,10.60000038,1.019999981,NA,1.75999999,1.779999971,0.004,0.33584906,0.151360006,0.085440002,0.184489055,0.065920004,13.47826112,0.260560676,1306.879967,12.61084055,25.06296336,0.409836066,33.04918033,1370.98,18.48,12.36,24.59,12.37,25.79333333,17.7,62,1400.424008,Cfa,UDIC,THERMIC,5,-0.018332614,-9.038784692,-0.08992922,-21.12113841,-0.071596606,-32.1123493,-0.004300499,-4.792149726,-0.067296107,-50.5164927,32.41,-87.0153,888259.7218,-524297.7878,17366,32.41472222,-86.48972222,709.1400416,10.81200019,68.23800029,723.322829,9,0.18449,0.20305,-0.01453,-0.01856,-0.01856
17366,9354,63725,9354,US,AL,AL085,32.22194444,-86.85944444,0,20,Ap,A,sl,66.90000153,22,11.10000038,1.049999952,NA,1.549999952,1.580000043,0.005,0.415094358,0.139499996,0.075840005,0.275594362,0.063659991,13.47826112,0.260560676,1306.879967,12.61084055,25.06296336,0.409836066,33.04918033,1340.97,17.93,11.8,24.07,12.19,23.58666667,16.7,105,1400.424008,Cfa,UDIC,THERMIC,10,0.073797695,36.57032377,-0.012267516,-2.870521749,-0.08606521,-38.15535727,-0.017305503,-18.57899915,-0.068759707,-51.92558829,32.41,-87.0153,855900.2508,-549078.0318,17366,32.22194444,-86.85944444,742.5900424,11.65499987,70.2449984,779.7195089,10,0.27559,0.20187,0.0786,0.07372,0.07372
