stnid,site_key,layer_key,pedon_key,country_code,state_admindiv_code,county_code,lat,long,hzn_top,hzn_bot,hzn_desgn,hzn_master,txt,sand,silt,clay,oc,c_tot,db_13b,db_od,COLEws,tp,fc,wp,ep,whc,mag,timing,ppt,mintemp,maxtemp,maxtempfreezedays,mintempfreezedays,prismppt,prismtemp,prismmintemp,prismmaxtemp,prismdewtemp,prismjjavpd,prismmaxvpd,elev,cesmppt,koeppen,moistreg,tempreg,mid,resep,rresep,restp,rrestp,resfc,rresfc,reswp,rreswp,reswhc,rreswhc,stnlat,stnlong,X,Y,stnid,lat,long,Sand_clay,Clay_soc,Sand_soc,Sand_clay_soc,OBS,ep,PREDICTED,RESIDUAL,PRED ERROR,RESEPx
13511,18477,116109,18477,US,AL,AL091,32.29944444,-87.67694444,16,40,Bw1,B,c,34,25.60000038,40.40000153,0.550000012,0.579999983,1.389999986,1.690000057,0.067000002,0.475471703,0.350280007,0.280540016,0.125191696,0.069739991,13.8325382,0.257272465,1311.160492,11.76093053,25.20280778,0.573770492,41.73770492,1349.05,17.92,11.48,24.37,12.18,25.10666667,17.21,45,1328.342475,Cfa,UDIC,THERMIC,28,0.022282929,21.65309092,0.017366204,3.790874422,-0.004916725,-1.384225791,0.013058181,4.881894545,-0.017974906,-20.49242088,32.7017,-87.5808,778801.3094,-547506.6684,13511,32.29944444,-87.67694444,1373.600052,22.22000133,18.70000041,755.4800451,1,0.12519,0.10053,0.03976,0.02466,0.02466
13511,18477,116110,18477,US,AL,AL091,32.29944444,-87.67694444,40,76,Bw2,B,c,27.39999962,25.5,47.09999847,0.270000011,0.289999992,1.379999995,1.769999981,0.086000003,0.479245285,0.389160009,0.346920003,0.090085276,0.042240006,13.8325382,0.257272465,1311.160492,11.76093053,25.20280778,0.573770492,41.73770492,1349.05,17.92,11.48,24.37,12.18,25.10666667,17.21,45,1328.342475,Cfa,UDIC,THERMIC,58,0.021450218,31.25256758,0.031470739,7.028255438,0.010020521,2.642964219,0.03477335,11.14006828,-0.024752829,-36.94847236,32.7017,-87.5808,778801.3094,-547506.6684,13511,32.29944444,-87.67694444,1290.53994,12.71700011,7.398000199,348.445798,2,0.090085,0.06936,0.0356,0.02072,0.020725
17157,8442,58291,8442,US,AL,AL127,33.975,-87.59277778,15,48,Bt,B,sic,5.099999905,53,41.90000153,0.349999994,NA,1.450000048,1.610000014,0.034000002,0.452830171,0.43645002,0.291410009,0.016380151,0.145040011,12.82019314,0.295673323,1419.593508,8.269052606,22.5313553,3.262295082,80.29508197,1490.84,15.84,9.41,22.26,10.17,23.24333333,15.28,193,1303.630973,Cfa,UDIC,THERMIC,31.5,-0.067893798,-80.5632097,-0.020234852,-4.277393326,0.047658946,12.25824079,0.003975769,1.383192494,0.043683177,43.09840332,34.1736,-86.8133,770132.326,-360516.1363,17157,33.975,-87.59277778,213.6900038,14.66500028,1.784999936,74.79150006,3,0.01638,0.09,-0.0716,-0.07362,-0.07362
17157,8443,58293,8443,US,AL,AL127,33.97722222,-87.58083333,13,41,Bt,B,cl,37.20000076,31,31.79999924,0.349999994,NA,1.539999962,1.590000033,0.011,0.418867939,0.281819981,0.152640009,0.137047958,0.129179972,12.82019314,0.295673323,1419.593508,8.269052606,22.5313553,3.262295082,80.29508197,1490.84,15.84,9.41,22.26,10.17,23.24333333,15.28,193,1303.630973,Cfa,UDIC,THERMIC,27,0.024693243,21.97793256,-0.022765989,-5.15494559,-0.047459232,-14.4130665,-0.067209281,-30.57061552,0.019750049,18.04812512,34.1736,-86.8133,771201.6464,-360171.9019,17157,33.97722222,-87.58083333,1182.959996,11.12999954,13.02000004,414.0359915,4,0.13705,0.11298,0.03303,0.02407,0.02407
17366,17209,107735,17209,US,AL,AL085,32.17611111,-86.87722222,45,73,Bt3,B,sc,48.90000153,10.89999962,40.20000076,0.129999995,NA,1.710000038,1.75999999,0.009,0.354716967,0.31464,0.285120012,0.040076966,0.029519989,13.47826112,0.260560676,1306.879967,12.61084055,25.06296336,0.409836066,33.04918033,1348.27,17.81,11.63,23.99,12.11,23.48333333,16.6,111,1400.424008,Cfa,UDIC,THERMIC,59,-0.032319679,-44.64250914,-0.058205999,-14.09609148,-0.02588632,-7.601855851,0.01480272,5.476053717,-0.04068904,-57.95414177,32.41,-87.0153,854730.3386,-554322.9138,17366,32.17611111,-86.87722222,1965.780099,5.225999898,6.356999954,255.551403,5,0.040077,0.07177,-0.02669,-0.03169,-0.031693
17366,17208,107725,17208,US,AL,AL131,31.8725,-87.24472222,14,39,Bt1,B,c,32.70000076,15.80000019,51.5,0.649999976,NA,1.25999999,1.620000005,0.086999997,0.524528306,0.381779987,0.333720007,0.142748318,0.04805998,13.47826112,0.260560676,1306.879967,12.61084055,25.06296336,0.409836066,33.04918033,1409.87,18,11.48,24.52,12.28,23.98,17.24,94,1400.424008,Cfa,UDIC,THERMIC,26.5,0.058983329,70.41525307,0.06004546,12.92737957,0.001062131,0.278981222,0.006495971,1.985175443,-0.00543384,-10.15788342,32.41,-87.0153,823510.3254,-591247.6053,17366,31.8725,-87.24472222,1684.050039,33.47499876,21.25499971,1094.632485,6,0.14275,0.07809,0.06012,0.06466,0.06466
17366,8473,58492,8473,US,AL,AL131,32.02388889,-87.31638889,26,68,Bt1,B,l,36,39.90000153,24.10000038,0.360000014,NA,1.629999995,1.700000048,0.014,0.384905662,0.290139987,0.159799998,0.094765676,0.130339989,13.47826112,0.260560676,1306.879967,12.61084055,25.06296336,0.409836066,33.04918033,1411.58,17.93,11.41,24.46,12.16,24.55333333,17.29,65,1400.424008,Cfa,UDIC,THERMIC,47,-0.037612518,-28.41292578,-0.058218219,-13.13813626,-0.020605702,-6.631049869,-0.016038769,-9.121292942,-0.004566933,-3.385247,32.41,-87.0153,815249.3266,-575070.535,17366,32.02388889,-87.31638889,867.6000137,8.676000474,12.9600005,312.3360171,7,0.094766,0.13463,-0.04504,-0.03986,-0.039864
17366,9352,63704,9352,US,AL,AL001,32.48861111,-86.46944444,12,40,Bt1,B,sc,46.59999847,18.39999962,35,0.50999999,NA,1.549999952,1.600000024,0.011,0.415094358,0.234049999,0.188800006,0.181044359,0.045249993,13.47826112,0.260560676,1306.879967,12.61084055,25.06296336,0.409836066,33.04918033,1389.58,18.22,12.11,24.33,12.18,25.1,17.28,85,1400.424008,Cfa,UDIC,THERMIC,26,0.061455216,51.38862484,-0.031384962,-7.029432387,-0.092840178,-28.40103026,-0.044237923,-18.98314287,-0.048602255,-51.78592537,32.41,-87.0153,889322.4468,-515910.4977,17366,32.48861111,-86.46944444,1630.999946,17.84999965,23.76599875,831.8099564,8,0.18104,0.11591,0.07456,0.06514,0.06513
17366,6959,50034,6959,US,AL,AL131,31.89666667,-87.23666667,39,90,Bt1,B,scl,52.90000153,14.60000038,32.5,0.100000001,NA,1.620000005,1.669999957,0.009,0.388679243,0.259200001,0.168670002,0.129479243,0.090529999,13.47826112,0.260560676,1306.879967,12.61084055,25.06296336,0.409836066,33.04918033,1410.17,18.02,11.58,24.46,12.34,24.11666667,17.06,89,1400.424008,Cfa,UDIC,THERMIC,64.5,0.031861168,32.63859526,-0.01802421,-4.431781884,-0.049885378,-16.13967582,-0.054354808,-24.37164186,0.00446943,5.193353732,32.41,-87.0153,824017.9812,-588497.1532,17366,31.89666667,-87.23666667,1719.25005,3.250000033,5.290000206,171.9250067,9,0.12948,0.09786,0.02824,0.03162,0.03162
17366,17208,107727,17208,US,AL,AL131,31.8725,-87.24472222,69,95,Bt3,B,c,39.40000153,20.5,40.09999847,0.140000001,NA,1.419999957,1.559999943,0.030999999,0.46415096,0.400439999,0.301079977,0.063710961,0.099360022,13.47826112,0.260560676,1306.879967,12.61084055,25.06296336,0.409836066,33.04918033,1409.87,18,11.48,24.52,12.28,23.98,17.24,94,1400.424008,Cfa,UDIC,THERMIC,82,-0.011155214,-14.90020587,0.039521223,9.307219796,0.050676437,14.48876976,0.030257317,11.17237252,0.020419121,25.8663385,32.41,-87.0153,823510.3254,-591247.6053,17366,31.8725,-87.24472222,1579.940001,5.613999826,5.516000254,221.1916017,10,0.063711,0.07576,-0.01839,-0.01205,-0.012049
