This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,stnid
"ABEI","ABERDEEN",-112.8267,42.9533,1341,"AGRIMET","ABEI"
"AFTY","AFTON",-110.9358,42.7333,1893,"AGRIMET","AFTY"
"AGKO","AGENCY LAKE",-121.9825,42.5653,1265,"AGRIMET","AGKO"
"AHTI","ASHTON",-111.4667,44.0250,1615,"AGRIMET","AHTI"
"ARAO","AURORA",-122.7503,45.2819,43,"AGRIMET","ARAO"
"BANO","BANDON",-124.4172,43.0911,24,"AGRIMET","BANO"
"BATO","BEATTY",-121.2739,42.4781,1317,"AGRIMET","BATO"
"BEWO","BEND",-121.3203,44.0475,1113,"AGRIMET","BEWO"
"BKVO","BAKER VALLEY",-117.9636,44.8819,1042,"AGRIMET","BKVO"
"BNDW","BONNEVILLE D",-121.9311,45.6478,24,"AGRIMET","BNDW"
"BOII","BOISE",-116.1861,43.6208,829,"AGRIMET","BOII"
"BRKO","BROOKINGS",-124.2408,42.0300,24,"AGRIMET","BRKO"
"CEDC","CEDARVILLE",-120.1714,41.5853,1402,"AGRIMET","CEDC"
"CHAW","CHAMOKANE",-117.7392,48.0314,594,"AGRIMET","CHAW"
"CHVO","CHRISTMAS VA",-120.7281,43.2414,1329,"AGRIMET","CHVO"
"CJDW","CHIEF JOSEPH",-119.6356,47.9908,302,"AGRIMET","CJDW"
"COVM","CORVALLIS",-114.0833,46.3333,1096,"AGRIMET","COVM"
"CRSM","CRESTON",-114.1278,48.1875,899,"AGRIMET","CRSM"
"CRVO","CORVALLIS",-123.1900,44.6342,70,"AGRIMET","CRVO"
"DEFO","DEE FLAT",-121.6472,45.5736,384,"AGRIMET","DEFO"
"DENI","DWORSHAK-DEN",-116.2206,46.6233,506,"AGRIMET","DENI"
"DRLM","DEER LODGE",-112.7667,46.3356,1426,"AGRIMET","DRLM"
"DTRO","DETROIT LAKE",-122.1792,44.7300,511,"AGRIMET","DTRO"
"ECHO","ECHO",-119.3500,45.7111,232,"AGRIMET","ECHO"
"FAFI","FAIRFIELD",-114.8250,43.3083,1536,"AGRIMET","FAFI"
"FOGO","FOREST GROVE",-123.0836,45.5531,55,"AGRIMET","FOGO"
"FTHI","FORT HALL",-112.4311,43.0714,1355,"AGRIMET","FTHI"
"GCDW","GRAND COULEE",-118.9536,47.9453,402,"AGRIMET","GCDW"
"GDVI","GRAND VIEW",-116.0561,42.9125,786,"AGRIMET","GDVI"
"GERW","GEORGE",-119.6422,47.0439,351,"AGRIMET","GERW"
"GFRI","GLENNS FERRY",-115.3569,42.8667,922,"AGRIMET","GFRI"
"GOLW","GOLDENDALE",-120.8244,45.8119,512,"AGRIMET","GOLW"
"HERO","HERMISTON",-119.5122,45.8211,168,"AGRIMET","HERO"
"HOXO","HOOD RIVER",-121.5181,45.6844,155,"AGRIMET","HOXO"
"HRFO","HEREFORD",-118.0200,44.4881,1097,"AGRIMET","HRFO"
"HRHW","HARRAH",-120.5744,46.3847,259,"AGRIMET","HRHW"
"HRMO","HERMISTON (H",-119.2833,45.8194,185,"AGRIMET","HRMO"
"IMBO","IMBLER",-117.9667,45.4333,838,"AGRIMET","IMBO"
"KFLO","KLAMATH FALL",-121.7550,42.1647,1250,"AGRIMET","KFLO"
"KFLW","KETTLE FALLS",-118.1242,48.5950,408,"AGRIMET","KFLW"
"KTBI","KETTLE BUTTE",-112.3258,43.5486,1565,"AGRIMET","KTBI"
"LAKO","LAKEVIEW",-120.5231,42.1222,1454,"AGRIMET","LAKO"
"LBRW","LAKE BRYAN-R",-117.6542,46.6975,192,"AGRIMET","LBRW"
"LEGW","LEGROW",-118.9361,46.2053,177,"AGRIMET","LEGW"
"LIDW","LIND",-118.7394,46.8672,450,"AGRIMET","LIDW"
"LORO","LORELLA",-121.2242,42.0778,1268,"AGRIMET","LORO"
"MALI","MALTA",-113.4139,42.4375,1344,"AGRIMET","MALI"
"MASW","MANSON",-120.1244,47.9169,601,"AGRIMET","MASW"
"MDFO","MEDFORD",-122.9378,42.3311,408,"AGRIMET","MDFO"
"MNTI","MONTEVIEW",-112.5358,44.0150,1480,"AGRIMET","MNTI"
"MRSO","MADRAS",-121.1486,44.6800,744,"AGRIMET","MRSO"
"ODSW","ODESSA",-118.8786,47.3089,503,"AGRIMET","ODSW"
"OMAW","OMAK",-119.5761,48.4025,376,"AGRIMET","OMAW"
"ONTO","ONTARIO",-117.0153,43.9778,689,"AGRIMET","ONTO"
"PARO","PARKDALE",-121.6167,45.5444,451,"AGRIMET","PARO"
"PCYO","PRAIRIE CITY",-118.6278,44.4408,1144,"AGRIMET","PCYO"
"PICI","PICABO",-114.1658,43.3117,1494,"AGRIMET","PICI"
"PMAI","PARMA",-116.9333,43.8000,703,"AGRIMET","PMAI"
"PNGO","PINEGROVE",-121.5056,45.6500,189,"AGRIMET","PNGO"
"POBO","POWELL BUTTE",-120.9497,44.2483,975,"AGRIMET","POBO"
"RDBM","ROUNDBUTTE",-114.2806,47.5394,927,"AGRIMET","RDBM"
"RPTI","RUPERT",-113.8381,42.5950,1266,"AGRIMET","RPTI"
"RTHI","RATHDRUM PRA",-116.8414,47.7956,698,"AGRIMET","RTHI"
"RXGI","REXBURG",-111.7667,43.8500,1486,"AGRIMET","RXGI"
"SBMW","SEVEN BAYS M",-118.3411,47.8553,418,"AGRIMET","SBMW"
"SIGM","ST. IGNATIUS",-114.0981,47.3133,896,"AGRIMET","SIGM"
"SILW","SILCOTT ISLA",-117.1847,46.4186,251,"AGRIMET","SILW"
"TWFI","TWIN FALLS (",-114.3453,42.5461,1195,"AGRIMET","TWFI"
"WRDO","WORDEN",-121.7869,42.0169,1244,"AGRIMET","WRDO"
"CERM","EDMUNSTON",-68.3167,47.4167,154,"ASOS","CERM"
"CMFM","FORET MONTMO",-71.1500,47.3167,672,"ASOS","CMFM"
"CPBT","BLOOD TRIBE",-113.0500,49.5667,980,"ASOS","CPBT"
"CPEH","ENCHANT AGDM",-112.4333,50.1833,801,"ASOS","CPEH"
"CPFI","FINCASTLE AG",-112.0333,49.8000,833,"ASOS","CPFI"
"CPIR","IRON SPRINGS",-112.7333,49.9000,858,"ASOS","CPIR"
"CPRO","ROSEMARY AGD",-112.0500,50.8333,714,"ASOS","CPRO"
"CPRY","RAYMOND AGDM",-112.6833,49.4833,937,"ASOS","CPRY"
"CPSV","SEVEN PERSON",-110.9167,49.9167,766,"ASOS","CPSV"
"CPXL","BOW ISLAND A",-111.3833,49.8667,799,"ASOS","CPXL"
"CTNK","ALGONQUIN PA",-78.2667,45.5333,410,"ASOS","CTNK"
"CWAF","ILE ROUGE(MA",-69.5500,48.0800,5,"ASOS","CWAF"
"CWAJ","ERIEAU (MAPS",-81.9000,42.2500,178,"ASOS","CWAJ"
"CWBE","KILLARNEY (M",-81.4800,45.9700,196,"ASOS","CWBE"
"CWBO","BROOKS (AUTO",-111.8500,50.5500,747,"ASOS","CWBO"
"CWBZ","ST ANICET",-74.2800,45.1200,49,"ASOS","CWBZ"
"CWCJ","PUKASKWA PAR",-86.3000,48.6000,206,"ASOS","CWCJ"
"CWCO","COLLINGWOOD",-80.2200,44.5000,180,"ASOS","CWCO"
"CWDJ","REGINA UNIVE",-104.5900,50.4000,573,"ASOS","CWDJ"
"CWDK","CLARESHOLM (",-113.6300,50.0200,1012,"ASOS","CWDK"
"CWDQ","LA TUQUE",-72.8000,47.4200,169,"ASOS","CWDQ"
"CWDT","CHUTE DES PA",-71.2500,49.9000,399,"ASOS","CWDT"
"CWDV","UPSALA (MARS",-90.4700,49.0300,489,"ASOS","CWDV"
"CWEE","CHAMOUCHOUAN",-73.3500,49.2800,305,"ASOS","CWEE"
"CWEH","EASTEND CYPR",-108.9800,49.4300,1078,"ASOS","CWEH"
"CWEL","ENTRANCE IL",-123.8000,49.2200,5,"ASOS","CWEL"
"CWER","ILE D'ORLEAN",-70.8200,47.0000,5,"ASOS","CWER"
"CWEW","L'ASSOMPTION",-73.4300,45.8200,21,"ASOS","CWEW"
"CWEZ","SATURNA ISL",-123.0500,48.7800,7,"ASOS","CWEZ"
"CWFJ","CARDSTON (AU",-113.2800,49.2000,1136,"ASOS","CWFJ"
"CWFQ","FRELIGHSBURG",-72.8300,45.0500,152,"ASOS","CWFQ"
"CWGB","BALLENAS IL",-124.1700,49.3500,5,"ASOS","CWGB"
"CWGD","GODERICH (AU",-81.7200,43.7700,214,"ASOS","CWGD"
"CWGH","GRENADIER IS",-75.8500,44.4200,82,"ASOS","CWGH"
"CWGL","LAGOON CITY",-79.2200,44.5300,221,"ASOS","CWGL"
"CWGM","WATERTON PAR",-113.8000,49.1400,1296,"ASOS","CWGM"
"CWGT","SISTERS IL A",-124.4300,49.4800,5,"ASOS","CWGT"
"CWGW","SPARWOOD (AU",-114.9000,49.7500,1137,"ASOS","CWGW"
"CWHM","VARENNES",-73.3800,45.7200,192,"ASOS","CWHM"
"CWHQ","DESCHAMBAULT",-71.9500,46.6800,55,"ASOS","CWHQ"
"CWHV","BEAUCEVILLE",-70.7800,46.2000,229,"ASOS","CWHV"
"CWHY","MONT-ORFORD",-72.2500,45.3200,851,"ASOS","CWHY"
"CWII","VICTORIA BEA",-96.5700,50.7000,220,"ASOS","CWII"
"CWIK","BROADVIEW",-102.6800,50.3800,602,"ASOS","CWIK"
"CWIS","CHARLEVOIX (",-70.6300,47.2800,719,"ASOS","CWIS"
"CWIT","ST. CLOTHILD",-73.6800,45.1700,52,"ASOS","CWIT"
"CWIX","MISTOOK (AUT",-71.7200,48.7700,113,"ASOS","CWIX"
"CWIY","ST LEONARD A",-67.8200,47.1500,49,"ASOS","CWIY"
"CWIZ","L'ACADIE",-73.3500,45.3000,45,"ASOS","CWIZ"
"CWJB","STE FOY/U LA",-71.2700,47.3000,91,"ASOS","CWJB"
"CWJI","ASSINIBOIA A",-105.9300,49.7300,724,"ASOS","CWJI"
"CWJO","JONQUIERE(AU",-71.2200,48.4200,133,"ASOS","CWJO"
"CWJR","CRESTON (AUT",-116.5000,49.0800,646,"ASOS","CWJR"
"CWJT","ST JOVITE (A",-74.5300,46.0700,239,"ASOS","CWJT"
"CWJV","VERNON (AUTO",-119.3000,50.2300,556,"ASOS","CWJV"
"CWJX","LEADER ARPT",-109.5000,50.9000,672,"ASOS","CWJX"
"CWKD","BONNARD(AUTO",-71.0200,50.7300,497,"ASOS","CWKD"
"CWKH","MALAHAT (AUT",-123.5800,48.5800,366,"ASOS","CWKH"
"CWKO","ROCKGLEN (MA",-105.9800,49.1700,917,"ASOS","CWKO"
"CWLE","LUCKY LAKE (",-107.1500,50.9500,665,"ASOS","CWLE"
"CWLM","VICTORIA (AU",-123.3200,48.4200,70,"ASOS","CWLM"
"CWLS","MOUNT FOREST",-80.7500,43.9800,415,"ASOS","CWLS"
"CWLY","LYTTON (READ",-121.5800,50.2300,229,"ASOS","CWLY"
"CWMJ","MANIWAKI",-76.0000,46.2800,200,"ASOS","CWMJ"
"CWMM","P. MEADOWS C",-122.6800,49.2000,5,"ASOS","CWMM"
"CWMQ","MAPLECREEK (",-109.4700,49.9000,767,"ASOS","CWMQ"
"CWNC","COBOURG (MAR",-78.1700,43.9500,78,"ASOS","CWNC"
"CWNH","RIVIERE DU L",-69.5500,47.8000,148,"ASOS","CWNH"
"CWNK","CARMAN/UNIV_",-98.0300,49.5000,268,"ASOS","CWNK"
"CWNM","NELSON (AUTO",-117.3000,49.5000,535,"ASOS","CWNM"
"CWNP","NAKUSP (AUTO",-117.8200,50.2700,524,"ASOS","CWNP"
"CWNQ","NICOLET (AUT",-72.6500,46.2200,10,"ASOS","CWNQ"
"CWNZ","NAGAGAMI (MA",-84.1700,49.7500,256,"ASOS","CWNZ"
"CWOD","NORMANDIN",-72.5500,48.8300,137,"ASOS","CWOD"
"CWOE","ONEFOUR (AUT",-110.4700,49.1200,935,"ASOS","CWOE"
"CWPC","PORT COLBORN",-79.2500,42.8700,184,"ASOS","CWPC"
"CWPD","PARC DES LAU",-71.2300,47.5700,803,"ASOS","CWPD"
"CWPF","ESQUIMALT ME",-123.4300,48.4300,12,"ASOS","CWPF"
"CWPK","PARENT (MARS",-74.6200,47.9200,442,"ASOS","CWPK"
"CWPO","PILOT MOUND",-98.9000,49.2000,470,"ASOS","CWPO"
"CWPQ","MONTREAL-EST",-73.5500,45.6300,51,"ASOS","CWPQ"
"CWPR","PRINCETON (A",-120.5200,50.6000,700,"ASOS","CWPR"
"CWQH","LENNOXVILLE",-71.8200,45.3700,181,"ASOS","CWQH"
"CWQO","ILE BICQUETT",-68.8933,48.4156,7,"ASOS","CWQO"
"CWQP","POINT PETRE",-77.1500,43.8300,79,"ASOS","CWQP"
"CWQV","PUINTE CLAVE",-70.1200,48.2700,0,"ASOS","CWQV"
"CWRK","BANCROFT AUT",-77.8700,45.0700,331,"ASOS","CWRK"
"CWRT","CROWSNEST",-114.4800,49.6300,1303,"ASOS","CWRT"
"CWRY","MILK RIVER",-112.0500,49.1300,1050,"ASOS","CWRY"
"CWSG","CAP CHAT (MA",-66.7300,49.0800,35,"ASOS","CWSG"
"CWSK","SQUAMISH (AU",-123.1700,49.7800,60,"ASOS","CWSK"
"CWSL","SALMON ARM A",-119.2800,50.7000,351,"ASOS","CWSL"
"CWSP","SHERINGHAM A",-123.9200,48.3800,21,"ASOS","CWSP"
"CWSS","ST. STEPHEN",-67.2500,45.2000,26,"ASOS","CWSS"
"CWST","LA POCATIERE",-70.0300,47.3500,31,"ASOS","CWST"
"CWTA","MC TAVISH (A",-73.5800,45.5000,63,"ASOS","CWTA"
"CWTG","POINTE DES M",-67.3800,49.3200,5,"ASOS","CWTG"
"CWTN","CAP TOURMENT",-70.8000,47.0700,6,"ASOS","CWTN"
"CWTT","LAC MEMPHREM",-72.1700,45.2700,209,"ASOS","CWTT"
"CWTY","TROIS RIVIER",-72.5200,46.3500,6,"ASOS","CWTY"
"CWUS","SUMMERLAND (",-119.6500,49.5700,454,"ASOS","CWUS"
"CWUX","LA BAIE",-70.9300,48.3000,135,"ASOS","CWUX"
"CWVN","VAL MARIE SE",-107.5800,49.0700,785,"ASOS","CWVN"
"CWVP","CYPRESS HILL",-109.5200,49.6500,1271,"ASOS","CWVP"
"CWVQ","STE ANNE DE",-73.9300,45.4300,39,"ASOS","CWVQ"
"CWVV","VIC. HARTLAN",-123.4700,48.5300,49,"ASOS","CWVV"
"CWWA","W VANCOUVER",-123.1800,49.3500,178,"ASOS","CWWA"
"CWWB","BURLINGTON P",-79.8000,43.3000,77,"ASOS","CWWB"
"CWWF","WEYBURN (AUT",-103.8000,49.7000,589,"ASOS","CWWF"
"CWWK","WHITE ROCK A",-122.7800,49.0200,15,"ASOS","CWWK"
"CWWX","COVE ISLAND",-81.7300,45.3300,181,"ASOS","CWWX"
"CWWZ","PORT WELLER",-79.2200,43.2500,79,"ASOS","CWWZ"
"CWXC","ONATCHIWAY",-71.0300,48.8800,300,"ASOS","CWXC"
"CWXL","BOW ISLAND",-111.4500,49.6300,838,"ASOS","CWXL"
"CWYJ","VICTORIA UNI",-123.3000,48.4500,49,"ASOS","CWYJ"
"CWYY","OSOYOOS (AUT",-119.4300,49.0300,283,"ASOS","CWYY"
"CWZA","AGASSIZ (AUT",-121.7700,49.2500,15,"ASOS","CWZA"
"CWZS","AMQUI",-87.4300,48.4700,166,"ASOS","CWZS"
"CXBI","BARRIE-ORO",-79.5500,44.4833,289,"ASOS","CXBI"
"CXBK","BRATT'S_LAKE",-104.7000,50.2000,580,"ASOS","CXBK"
"CXBO","BEAUPORT",-71.2000,46.8400,10,"ASOS","CXBO"
"CXBR","BROCKET AGDM",-113.8167,49.6167,1073,"ASOS","CXBR"
"CXBW","BARNWELL AGD",-112.3000,49.8000,824,"ASOS","CXBW"
"CXCA","CAMERON_FALL",-88.3500,49.1500,180,"ASOS","CXCA"
"CXCP","CHAMPION AGD",-113.3500,50.2833,1006,"ASOS","CXCP"
"CXDB","DEL BONITA A",-112.8167,49.0500,1310,"ASOS","CXDB"
"CXDI","DELHI_CS",-80.5500,42.8700,232,"ASOS","CXDI"
"CXDW","DEERWOOD_RCS",-98.3200,49.6000,341,"ASOS","CXDW"
"CXEA","EAR_FALLS",-93.2200,50.6300,355,"ASOS","CXEA"
"CXET","EGBERT",-79.7800,44.2300,251,"ASOS","CXET"
"CXFM","FOREMOST AGD",-111.4833,49.4833,881,"ASOS","CXFM"
"CXGH","GIMLI_HARBOU",-96.9822,50.6311,217,"ASOS","CXGH"
"CXHA","HARROW",-82.9000,42.0300,191,"ASOS","CXHA"
"CXHF","HIGH FALLS C",-75.6500,45.8300,190,"ASOS","CXHF"
"CXHM","HAMILTON",-79.9000,43.2800,102,"ASOS","CXHM"
"CXKA","KAPUSKASING",-82.4300,49.4000,218,"ASOS","CXKA"
