STNID	LATITUDE	LONGITUDE	MIN_YEAR	MAX_YEAR	REGIME	CLASS	POISSON	EXPONENTIAL
11084	31.06	-87.05	1926	2011	UDIC	5	0.269254814	0.062632299
12813	30.55	-87.88	1917	2011	UDIC	5	0.31262026	0.070829188
13511	32.7	-87.58	1900	2011	UDIC	5	0.257272465	0.072293312
13816	31.87	-86.25	1900	2011	UDIC	5	0.252640169	0.069213821
15749	34.74	-87.6	1940	2011	UDIC	5	0.288866487	0.086872759
17157	34.17	-86.81	1907	2011	UDIC	5	0.295673323	0.078001945
17304	34.67	-86.05	1900	2011	UDIC	5	0.26531298	0.074083247
17366	32.41	-87.02	1900	2011	UDIC	5	0.260560676	0.074193547
18024	33.42	-86.14	1900	2011	UDIC	5	0.2546803	0.070649818
18178	31.54	-87.88	1900	2011	UDIC	5	0.264952957	0.069316415
18323	31.81	-85.97	1908	2011	UDIC	5	0.256668734	0.073284485
18380	33.21	-87.62	1948	2011	UDIC	5	0.270833333	0.075184295
18438	32.01	-85.75	1900	2011	UDIC	5	0.231326805	0.066393037
18469	34.57	-85.61	1900	2011	UDIC	5	0.276641705	0.075581423
21248	36.15	-109.54	1970	2011	TYPIC ARIDIC	3	0.146761393	0.245661235
23160	35.27	-111.74	1909	2011	TYPIC USTIC	4	0.204248878	0.14252222
23596	36.05	-112.15	1976	2011	TYPIC ARIDIC	3	0.172864397	0.169235414
26250	34.15	-114.29	1900	2011	TYPIC ARIDIC	3	0.049011137	0.161676623
26353	31.94	-109.84	1913	2011	USTIC ARIDIC	7	0.084147931	0.169672184
26796	34.57	-112.43	1900	2011	ARIDIC USTIC	2	0.168370776	0.133476276
27281	33.67	-111.15	1905	2011	ARIDIC USTIC	2	0.132373631	0.125606075
27370	33.08	-111.74	1908	2011	TYPIC ARIDIC	3	0.074234905	0.141683937
27390	32.82	-109.68	1948	2011	TYPIC ARIDIC	3	0.13781082	0.22749776
27435	34.52	-109.4	1901	2011	USTIC ARIDIC	7	0.135958539	0.195660191
27716	35.33	-112.88	1904	2011	USTIC ARIDIC	7	0.111434687	0.154425606
28619	31.71	-110.06	1900	2011	USTIC ARIDIC	7	0.133064516	0.146690222
29271	33.82	-109.98	1900	2011	TYPIC USTIC	4	0.153153802	0.144889192
29287	33.98	-112.74	1908	2011	TYPIC ARIDIC	3	0.088968156	0.123572259
29359	35.24	-112.19	1902	2011	TYPIC USTIC	4	0.177272727	0.125246379
30936	34.88	-91.22	1900	2011	AQUIC	1	0.234759025	0.068973444
31596	35.08	-92.43	1900	2011	UDIC	5	0.248247888	0.075925702
31632	36.42	-90.59	1900	2011	AQUIC	1	0.232166859	0.073610055
32356	36.42	-93.79	1902	2011	UDIC	5	0.245650049	0.078490599
32444	36.1	-94.17	1900	2011	UDIC	5	0.250048003	0.086209918
32930	36.43	-94.45	1900	2011	UDIC	5	0.244887673	0.079494667
34572	36.49	-91.54	1904	2011	UDIC	5	0.219708284	0.074501977
34756	34.57	-94.25	1900	2011	UDIC	5	0.280409946	0.075618088
35186	35.6	-91.27	1900	2011	AQUIC	1	0.259480607	0.078916371
35512	35.51	-93.87	1994	2011	UDIC	5	0.232228196	0.069460581
35754	34.23	-92.02	1900	2011	UDIC	5	0.258640553	0.074797597
35820	36.26	-90.97	1900	2011	UDIC	5	0.248775922	0.075446707
35908	33.82	-93.39	1900	2011	UDIC	5	0.259912634	0.073429804
36253	33.81	-91.27	1959	2011	AQUIC	1	0.245840941	0.072340137
36928	35.3	-93.64	1900	2011	UDIC	5	0.239895353	0.07778095
40693	37.87	-122.26	1900	2011	XERIC	8	0.157834101	0.105343575
40924	33.61	-114.6	1913	2011	TYPIC ARIDIC	3	0.04157163	0.168584188
41614	41.53	-120.17	1900	2011	XERIC	8	0.195516513	0.231386522
41715	39.69	-121.82	1906	2011	XERIC	8	0.160225198	0.099954253
41758	32.64	-117.09	1918	2011	XERIC	8	0.100434683	0.158040115
41912	39.09	-120.95	1905	2011	XERIC	8	0.173073058	0.058446894
42239	32.99	-116.59	1900	2011	XERIC	8	0.134096582	0.056852944
42319	36.46	-116.87	1961	2011	TYPIC ARIDIC	3	0.044855577	0.293482279
42910	40.81	-124.16	1941	2011	UDIC	5	0.325306679	0.123186519
42941	34.7	-118.43	1909	2011	XERIC	8	0.092520096	0.089602106
43257	36.78	-119.72	1948	2011	XERIC	8	0.123067876	0.165555823
43747	36.32	-119.64	1900	2011	XERIC ARIDIC	9	0.09718222	0.187168393
